[seq_id=1] agent_inference: LNA=1, Filter=0, Mixer=-1.589dBm, IFAmp=4.501dB, EVM=99.978%, Status=0
[seq_id=55] agent_inference: LNA=1, Filter=0, Mixer=-1.170dBm, IFAmp=8.133dB, EVM=93.173%, Status=0
[seq_id=56] agent_inference: LNA=1, Filter=0, Mixer=2.631dBm, IFAmp=6.061dB, EVM=89.146%, Status=0
[seq_id=57] agent_inference: LNA=1, Filter=0, Mixer=3.478dBm, IFAmp=5.338dB, EVM=86.315%, Status=0
[seq_id=58] agent_inference: LNA=1, Filter=0, Mixer=6.867dBm, IFAmp=3.731dB, EVM=78.356%, Status=0
[seq_id=59] agent_inference: LNA=1, Filter=0, Mixer=7.070dBm, IFAmp=3.692dB, EVM=72.817%, Status=0
[seq_id=60] agent_inference: LNA=1, Filter=0, Mixer=7.101dBm, IFAmp=9.685dB, EVM=57.011%, Status=0
[seq_id=61] agent_inference: LNA=1, Filter=0, Mixer=-2.480dBm, IFAmp=10.131dB, EVM=99.816%, Status=0
[seq_id=62] agent_inference: LNA=1, Filter=0, Mixer=-2.453dBm, IFAmp=10.867dB, EVM=99.711%, Status=0
[seq_id=63] agent_inference: LNA=1, Filter=0, Mixer=-2.492dBm, IFAmp=10.763dB, EVM=99.641%, Status=0
[seq_id=64] agent_inference: LNA=1, Filter=0, Mixer=-1.662dBm, IFAmp=4.404dB, EVM=99.955%, Status=0
[seq_id=65] agent_inference: LNA=1, Filter=0, Mixer=-1.475dBm, IFAmp=4.320dB, EVM=99.928%, Status=0
[seq_id=66] agent_inference: LNA=1, Filter=0, Mixer=-1.502dBm, IFAmp=4.264dB, EVM=99.909%, Status=0
[seq_id=67] agent_inference: LNA=1, Filter=0, Mixer=-1.403dBm, IFAmp=4.633dB, EVM=99.857%, Status=0
[seq_id=68] agent_inference: LNA=1, Filter=0, Mixer=-1.442dBm, IFAmp=4.775dB, EVM=99.821%, Status=0
[seq_id=69] agent_inference: LNA=1, Filter=0, Mixer=-1.713dBm, IFAmp=5.538dB, EVM=99.708%, Status=0
[seq_id=70] agent_inference: LNA=1, Filter=0, Mixer=-1.749dBm, IFAmp=5.514dB, EVM=99.646%, Status=0
[seq_id=71] agent_inference: LNA=1, Filter=0, Mixer=-2.077dBm, IFAmp=6.190dB, EVM=99.436%, Status=0
[seq_id=72] agent_inference: LNA=1, Filter=0, Mixer=-2.134dBm, IFAmp=6.227dB, EVM=99.276%, Status=0
[seq_id=73] agent_inference: LNA=1, Filter=0, Mixer=-2.693dBm, IFAmp=6.619dB, EVM=98.857%, Status=0
[seq_id=74] agent_inference: LNA=1, Filter=0, Mixer=-2.849dBm, IFAmp=6.383dB, EVM=98.570%, Status=0
[seq_id=75] agent_inference: LNA=1, Filter=0, Mixer=-3.463dBm, IFAmp=6.976dB, EVM=97.735%, Status=0
[seq_id=76] agent_inference: LNA=1, Filter=0, Mixer=-3.489dBm, IFAmp=6.768dB, EVM=97.185%, Status=0
[seq_id=77] agent_inference: LNA=1, Filter=0, Mixer=-3.781dBm, IFAmp=7.172dB, EVM=95.439%, Status=0
[seq_id=78] agent_inference: LNA=1, Filter=0, Mixer=-3.762dBm, IFAmp=6.969dB, EVM=94.286%, Status=0
[seq_id=79] agent_inference: LNA=1, Filter=0, Mixer=-3.506dBm, IFAmp=6.775dB, EVM=90.847%, Status=0
[seq_id=80] agent_inference: LNA=1, Filter=0, Mixer=-3.357dBm, IFAmp=6.251dB, EVM=88.856%, Status=0
[seq_id=81] agent_inference: LNA=1, Filter=0, Mixer=1.394dBm, IFAmp=14.371dB, EVM=98.174%, Status=0
[seq_id=82] agent_inference: LNA=1, Filter=0, Mixer=1.602dBm, IFAmp=14.280dB, EVM=97.708%, Status=0
[seq_id=83] agent_inference: LNA=1, Filter=0, Mixer=0.974dBm, IFAmp=15.841dB, EVM=96.344%, Status=0
[seq_id=84] agent_inference: LNA=1, Filter=0, Mixer=1.381dBm, IFAmp=15.597dB, EVM=95.414%, Status=0
[seq_id=85] agent_inference: LNA=1, Filter=0, Mixer=-2.294dBm, IFAmp=10.256dB, EVM=99.426%, Status=0
[seq_id=86] agent_inference: LNA=1, Filter=0, Mixer=-1.956dBm, IFAmp=10.659dB, EVM=99.085%, Status=0
[seq_id=87] agent_inference: LNA=1, Filter=0, Mixer=-1.920dBm, IFAmp=10.535dB, EVM=98.858%, Status=0
[seq_id=88] agent_inference: LNA=1, Filter=0, Mixer=-0.742dBm, IFAmp=9.865dB, EVM=98.184%, Status=0
[seq_id=89] agent_inference: LNA=1, Filter=0, Mixer=-0.585dBm, IFAmp=9.620dB, EVM=97.726%, Status=0
[seq_id=90] agent_inference: LNA=1, Filter=0, Mixer=2.525dBm, IFAmp=8.110dB, EVM=96.393%, Status=0
[seq_id=91] agent_inference: LNA=1, Filter=0, Mixer=-0.975dBm, IFAmp=3.263dB, EVM=99.856%, Status=0
[seq_id=92] agent_inference: LNA=1, Filter=0, Mixer=-0.842dBm, IFAmp=3.582dB, EVM=99.770%, Status=0
[seq_id=93] agent_inference: LNA=1, Filter=0, Mixer=-0.753dBm, IFAmp=3.416dB, EVM=99.709%, Status=0
[seq_id=94] agent_inference: LNA=1, Filter=0, Mixer=-0.549dBm, IFAmp=3.894dB, EVM=99.544%, Status=0
[seq_id=95] agent_inference: LNA=1, Filter=0, Mixer=-0.280dBm, IFAmp=3.814dB, EVM=99.424%, Status=0
[seq_id=96] agent_inference: LNA=1, Filter=0, Mixer=-0.084dBm, IFAmp=4.015dB, EVM=99.093%, Status=0
[seq_id=97] agent_inference: LNA=1, Filter=0, Mixer=0.161dBm, IFAmp=3.922dB, EVM=98.848%, Status=0
[seq_id=98] agent_inference: LNA=1, Filter=0, Mixer=-0.145dBm, IFAmp=3.927dB, EVM=98.169%, Status=0
[seq_id=99] agent_inference: LNA=1, Filter=0, Mixer=-0.198dBm, IFAmp=3.758dB, EVM=97.739%, Status=0
[seq_id=100] agent_inference: LNA=1, Filter=0, Mixer=-1.112dBm, IFAmp=3.758dB, EVM=96.383%, Status=0
[seq_id=101] agent_inference: LNA=1, Filter=0, Mixer=-0.859dBm, IFAmp=11.551dB, EVM=99.548%, Status=0
[seq_id=102] agent_inference: LNA=1, Filter=0, Mixer=1.606dBm, IFAmp=10.593dB, EVM=99.284%, Status=0
[seq_id=103] agent_inference: LNA=1, Filter=0, Mixer=2.328dBm, IFAmp=10.141dB, EVM=99.095%, Status=0
[seq_id=104] agent_inference: LNA=1, Filter=0, Mixer=4.704dBm, IFAmp=9.270dB, EVM=98.574%, Status=0
[seq_id=105] agent_inference: LNA=1, Filter=0, Mixer=4.972dBm, IFAmp=8.837dB, EVM=98.196%, Status=0
[seq_id=106] agent_inference: LNA=1, Filter=0, Mixer=-1.604dBm, IFAmp=6.607dB, EVM=99.773%, Status=0
[seq_id=107] agent_inference: LNA=1, Filter=0, Mixer=-2.009dBm, IFAmp=7.382dB, EVM=99.640%, Status=0
[seq_id=108] agent_inference: LNA=1, Filter=0, Mixer=-2.016dBm, IFAmp=7.393dB, EVM=99.548%, Status=0
[seq_id=109] agent_inference: LNA=1, Filter=0, Mixer=-2.419dBm, IFAmp=8.126dB, EVM=99.282%, Status=0
[seq_id=110] agent_inference: LNA=1, Filter=0, Mixer=-2.610dBm, IFAmp=8.055dB, EVM=99.098%, Status=0
[seq_id=111] agent_inference: LNA=1, Filter=0, Mixer=-3.128dBm, IFAmp=8.744dB, EVM=98.578%, Status=0
[seq_id=112] agent_inference: LNA=1, Filter=0, Mixer=-3.287dBm, IFAmp=8.674dB, EVM=98.214%, Status=0
[seq_id=113] agent_inference: LNA=1, Filter=0, Mixer=-3.259dBm, IFAmp=9.035dB, EVM=97.150%, Status=0
[seq_id=114] agent_inference: LNA=1, Filter=0, Mixer=-3.381dBm, IFAmp=8.821dB, EVM=96.393%, Status=0
[seq_id=115] agent_inference: LNA=1, Filter=0, Mixer=-2.533dBm, IFAmp=8.577dB, EVM=94.334%, Status=0
[seq_id=116] agent_inference: LNA=1, Filter=0, Mixer=-2.238dBm, IFAmp=8.131dB, EVM=92.812%, Status=0
[seq_id=117] agent_inference: LNA=1, Filter=0, Mixer=0.538dBm, IFAmp=6.454dB, EVM=88.594%, Status=0
[seq_id=118] agent_inference: LNA=1, Filter=0, Mixer=1.506dBm, IFAmp=5.430dB, EVM=85.701%, Status=0
[seq_id=119] agent_inference: LNA=1, Filter=0, Mixer=6.199dBm, IFAmp=3.221dB, EVM=77.470%, Status=0
[seq_id=120] agent_inference: LNA=1, Filter=0, Mixer=6.567dBm, IFAmp=2.352dB, EVM=71.495%, Status=0
[seq_id=121] agent_inference: LNA=1, Filter=0, Mixer=-2.333dBm, IFAmp=9.071dB, EVM=99.864%, Status=0
[seq_id=122] agent_inference: LNA=1, Filter=0, Mixer=-2.359dBm, IFAmp=8.976dB, EVM=99.830%, Status=0
[seq_id=123] agent_inference: LNA=1, Filter=0, Mixer=-2.456dBm, IFAmp=9.777dB, EVM=99.724%, Status=0
[seq_id=124] agent_inference: LNA=1, Filter=0, Mixer=-2.445dBm, IFAmp=9.789dB, EVM=99.664%, Status=0
[seq_id=125] agent_inference: LNA=1, Filter=0, Mixer=-2.573dBm, IFAmp=10.461dB, EVM=99.451%, Status=0
[seq_id=126] agent_inference: LNA=1, Filter=0, Mixer=-2.665dBm, IFAmp=10.320dB, EVM=99.322%, Status=0
[seq_id=127] agent_inference: LNA=1, Filter=0, Mixer=-1.715dBm, IFAmp=4.024dB, EVM=99.914%, Status=0
[seq_id=128] agent_inference: LNA=1, Filter=0, Mixer=-1.588dBm, IFAmp=4.317dB, EVM=99.862%, Status=0
[seq_id=129] agent_inference: LNA=1, Filter=0, Mixer=-1.569dBm, IFAmp=4.456dB, EVM=99.828%, Status=0
[seq_id=130] agent_inference: LNA=1, Filter=0, Mixer=-1.482dBm, IFAmp=4.920dB, EVM=99.730%, Status=0
[seq_id=131] agent_inference: LNA=1, Filter=0, Mixer=-1.519dBm, IFAmp=5.062dB, EVM=99.659%, Status=0
[seq_id=132] agent_inference: LNA=1, Filter=0, Mixer=-1.785dBm, IFAmp=5.529dB, EVM=99.455%, Status=0
[seq_id=133] agent_inference: LNA=1, Filter=0, Mixer=-1.828dBm, IFAmp=5.486dB, EVM=99.308%, Status=0
[seq_id=134] agent_inference: LNA=1, Filter=0, Mixer=-2.063dBm, IFAmp=5.779dB, EVM=98.920%, Status=0
[seq_id=135] agent_inference: LNA=1, Filter=0, Mixer=-2.096dBm, IFAmp=5.670dB, EVM=98.618%, Status=0
[seq_id=136] agent_inference: LNA=1, Filter=0, Mixer=-2.854dBm, IFAmp=5.976dB, EVM=97.844%, Status=0
[seq_id=137] agent_inference: LNA=1, Filter=0, Mixer=-2.914dBm, IFAmp=5.692dB, EVM=97.240%, Status=0
[seq_id=138] agent_inference: LNA=1, Filter=0, Mixer=-3.451dBm, IFAmp=6.230dB, EVM=95.722%, Status=0
[seq_id=139] agent_inference: LNA=1, Filter=0, Mixer=-3.456dBm, IFAmp=5.860dB, EVM=94.609%, Status=0
[seq_id=140] agent_inference: LNA=1, Filter=0, Mixer=-3.632dBm, IFAmp=6.010dB, EVM=91.375%, Status=0
[seq_id=141] agent_inference: LNA=1, Filter=0, Mixer=3.519dBm, IFAmp=11.203dB, EVM=98.895%, Status=0
[seq_id=142] agent_inference: LNA=1, Filter=0, Mixer=3.022dBm, IFAmp=12.311dB, EVM=98.258%, Status=0
[seq_id=143] agent_inference: LNA=1, Filter=0, Mixer=3.411dBm, IFAmp=12.009dB, EVM=97.823%, Status=0
[seq_id=144] agent_inference: LNA=1, Filter=0, Mixer=2.388dBm, IFAmp=13.513dB, EVM=96.529%, Status=0
[seq_id=145] agent_inference: LNA=1, Filter=0, Mixer=2.452dBm, IFAmp=13.499dB, EVM=95.658%, Status=0
[seq_id=146] agent_inference: LNA=1, Filter=0, Mixer=2.298dBm, IFAmp=15.047dB, EVM=93.068%, Status=0
[seq_id=147] agent_inference: LNA=1, Filter=0, Mixer=2.795dBm, IFAmp=14.852dB, EVM=91.260%, Status=0
[seq_id=148] agent_inference: LNA=1, Filter=0, Mixer=-2.565dBm, IFAmp=9.763dB, EVM=98.891%, Status=0
[seq_id=149] agent_inference: LNA=1, Filter=0, Mixer=-2.019dBm, IFAmp=10.094dB, EVM=98.258%, Status=0
[seq_id=150] agent_inference: LNA=1, Filter=0, Mixer=-1.983dBm, IFAmp=9.895dB, EVM=97.800%, Status=0
[seq_id=151] agent_inference: LNA=1, Filter=0, Mixer=-1.238dBm, IFAmp=2.882dB, EVM=99.891%, Status=0
[seq_id=152] agent_inference: LNA=1, Filter=0, Mixer=-1.181dBm, IFAmp=2.783dB, EVM=99.861%, Status=0
[seq_id=153] agent_inference: LNA=1, Filter=0, Mixer=-0.880dBm, IFAmp=3.050dB, EVM=99.781%, Status=0
[seq_id=154] agent_inference: LNA=1, Filter=0, Mixer=-0.766dBm, IFAmp=2.893dB, EVM=99.723%, Status=0
[seq_id=155] agent_inference: LNA=1, Filter=0, Mixer=-0.462dBm, IFAmp=3.246dB, EVM=99.562%, Status=0
[seq_id=156] agent_inference: LNA=1, Filter=0, Mixer=-0.115dBm, IFAmp=3.094dB, EVM=99.448%, Status=0
[seq_id=157] agent_inference: LNA=1, Filter=0, Mixer=0.308dBm, IFAmp=3.483dB, EVM=99.133%, Status=0
[seq_id=158] agent_inference: LNA=1, Filter=0, Mixer=0.468dBm, IFAmp=3.431dB, EVM=98.903%, Status=0
[seq_id=159] agent_inference: LNA=1, Filter=0, Mixer=0.731dBm, IFAmp=3.509dB, EVM=98.256%, Status=0
[seq_id=160] agent_inference: LNA=1, Filter=0, Mixer=0.878dBm, IFAmp=3.230dB, EVM=97.814%, Status=0
[seq_id=161] agent_inference: LNA=1, Filter=0, Mixer=-1.862dBm, IFAmp=11.816dB, EVM=99.658%, Status=0
[seq_id=162] agent_inference: LNA=1, Filter=0, Mixer=-1.692dBm, IFAmp=11.605dB, EVM=99.570%, Status=0
[seq_id=163] agent_inference: LNA=1, Filter=0, Mixer=-0.409dBm, IFAmp=10.986dB, EVM=99.314%, Status=0
[seq_id=164] agent_inference: LNA=1, Filter=0, Mixer=-0.064dBm, IFAmp=10.656dB, EVM=99.142%, Status=0
[seq_id=165] agent_inference: LNA=1, Filter=0, Mixer=2.922dBm, IFAmp=9.478dB, EVM=98.638%, Status=0
[seq_id=166] agent_inference: LNA=1, Filter=0, Mixer=3.274dBm, IFAmp=9.062dB, EVM=98.271%, Status=0
[seq_id=167] agent_inference: LNA=1, Filter=0, Mixer=5.203dBm, IFAmp=8.246dB, EVM=97.261%, Status=0
[seq_id=168] agent_inference: LNA=1, Filter=0, Mixer=5.395dBm, IFAmp=7.967dB, EVM=96.563%, Status=0
[seq_id=169] agent_inference: LNA=1, Filter=0, Mixer=-1.859dBm, IFAmp=6.532dB, EVM=99.567%, Status=0
[seq_id=170] agent_inference: LNA=1, Filter=0, Mixer=-2.214dBm, IFAmp=7.232dB, EVM=99.317%, Status=0
[seq_id=171] agent_inference: LNA=1, Filter=0, Mixer=-2.382dBm, IFAmp=7.170dB, EVM=99.141%, Status=0
[seq_id=172] agent_inference: LNA=1, Filter=0, Mixer=-3.030dBm, IFAmp=7.765dB, EVM=98.635%, Status=0
[seq_id=173] agent_inference: LNA=1, Filter=0, Mixer=-3.242dBm, IFAmp=7.638dB, EVM=98.291%, Status=0
[seq_id=174] agent_inference: LNA=1, Filter=0, Mixer=-3.590dBm, IFAmp=8.257dB, EVM=97.283%, Status=0
[seq_id=175] agent_inference: LNA=1, Filter=0, Mixer=-3.596dBm, IFAmp=7.980dB, EVM=96.581%, Status=0
[seq_id=176] agent_inference: LNA=1, Filter=0, Mixer=-3.361dBm, IFAmp=8.117dB, EVM=94.568%, Status=0
[seq_id=177] agent_inference: LNA=1, Filter=0, Mixer=-3.240dBm, IFAmp=7.732dB, EVM=93.136%, Status=0
[seq_id=178] agent_inference: LNA=1, Filter=0, Mixer=-1.793dBm, IFAmp=7.108dB, EVM=89.269%, Status=0
[seq_id=179] agent_inference: LNA=1, Filter=0, Mixer=-1.198dBm, IFAmp=6.307dB, EVM=86.415%, Status=0
[seq_id=180] agent_inference: LNA=1, Filter=0, Mixer=3.610dBm, IFAmp=3.142dB, EVM=78.319%, Status=0
[seq_id=181] agent_inference: LNA=1, Filter=0, Mixer=-1.906dBm, IFAmp=7.287dB, EVM=99.910%, Status=0
[seq_id=182] agent_inference: LNA=1, Filter=0, Mixer=-2.214dBm, IFAmp=8.328dB, EVM=99.857%, Status=0
[seq_id=183] agent_inference: LNA=1, Filter=0, Mixer=-2.262dBm, IFAmp=8.226dB, EVM=99.821%, Status=0
[seq_id=184] agent_inference: LNA=1, Filter=0, Mixer=-2.431dBm, IFAmp=9.112dB, EVM=99.712%, Status=0
[seq_id=185] agent_inference: LNA=1, Filter=0, Mixer=-2.448dBm, IFAmp=8.992dB, EVM=99.641%, Status=0
[seq_id=186] agent_inference: LNA=1, Filter=0, Mixer=-2.670dBm, IFAmp=9.820dB, EVM=99.428%, Status=0
[seq_id=187] agent_inference: LNA=1, Filter=0, Mixer=-2.820dBm, IFAmp=9.703dB, EVM=99.282%, Status=0
[seq_id=188] agent_inference: LNA=1, Filter=0, Mixer=-2.788dBm, IFAmp=10.172dB, EVM=98.866%, Status=0
[seq_id=189] agent_inference: LNA=1, Filter=0, Mixer=-2.859dBm, IFAmp=10.033dB, EVM=98.560%, Status=0
[seq_id=190] agent_inference: LNA=1, Filter=0, Mixer=-1.531dBm, IFAmp=4.214dB, EVM=99.816%, Status=0
[seq_id=191] agent_inference: LNA=1, Filter=0, Mixer=-1.459dBm, IFAmp=4.768dB, EVM=99.720%, Status=0
[seq_id=192] agent_inference: LNA=1, Filter=0, Mixer=-1.401dBm, IFAmp=4.766dB, EVM=99.642%, Status=0
[seq_id=193] agent_inference: LNA=1, Filter=0, Mixer=-1.596dBm, IFAmp=5.047dB, EVM=99.424%, Status=0
[seq_id=194] agent_inference: LNA=1, Filter=0, Mixer=-1.576dBm, IFAmp=4.988dB, EVM=99.285%, Status=0
[seq_id=195] agent_inference: LNA=1, Filter=0, Mixer=-1.697dBm, IFAmp=5.285dB, EVM=98.857%, Status=0
[seq_id=196] agent_inference: LNA=1, Filter=0, Mixer=-1.592dBm, IFAmp=5.092dB, EVM=98.566%, Status=0
[seq_id=197] agent_inference: LNA=1, Filter=0, Mixer=-2.399dBm, IFAmp=5.296dB, EVM=97.693%, Status=0
[seq_id=198] agent_inference: LNA=1, Filter=0, Mixer=-2.442dBm, IFAmp=5.212dB, EVM=97.112%, Status=0
[seq_id=199] agent_inference: LNA=1, Filter=0, Mixer=-3.080dBm, IFAmp=5.316dB, EVM=95.536%, Status=0
[seq_id=200] agent_inference: LNA=1, Filter=0, Mixer=-3.076dBm, IFAmp=5.043dB, EVM=94.313%, Status=0
[seq_id=201] agent_inference: LNA=1, Filter=0, Mixer=3.667dBm, IFAmp=10.489dB, EVM=99.092%, Status=0
[seq_id=202] agent_inference: LNA=1, Filter=0, Mixer=4.108dBm, IFAmp=10.185dB, EVM=98.846%, Status=0
[seq_id=203] agent_inference: LNA=1, Filter=0, Mixer=4.143dBm, IFAmp=10.828dB, EVM=98.187%, Status=0
[seq_id=204] agent_inference: LNA=1, Filter=0, Mixer=4.516dBm, IFAmp=10.483dB, EVM=97.724%, Status=0
[seq_id=205] agent_inference: LNA=1, Filter=0, Mixer=3.509dBm, IFAmp=11.966dB, EVM=96.375%, Status=0
[seq_id=206] agent_inference: LNA=1, Filter=0, Mixer=3.544dBm, IFAmp=11.863dB, EVM=95.414%, Status=0
[seq_id=207] agent_inference: LNA=1, Filter=0, Mixer=3.031dBm, IFAmp=13.603dB, EVM=92.657%, Status=0
[seq_id=208] agent_inference: LNA=1, Filter=0, Mixer=3.529dBm, IFAmp=13.463dB, EVM=90.947%, Status=0
[seq_id=209] agent_inference: LNA=1, Filter=0, Mixer=4.108dBm, IFAmp=16.379dB, EVM=85.482%, Status=0
[seq_id=210] agent_inference: LNA=1, Filter=0, Mixer=5.387dBm, IFAmp=16.790dB, EVM=81.753%, Status=0
